question,document
Where are the 2024 and 2025 LLM Zoomcamp project submissions listed?,930286278d
I want to compare my capstone idea with earlier projects — where can I find them?,930286278d
Do I have to reserve my capstone project idea before I start working on it?,897a350476
"Should I announce my project topic somewhere first, or can I just begin?",897a350476
"If I want feedback on my project idea, where should I ask?",897a350476
"Can I do a project on the same topic as someone else, or is that not allowed?",897a350476
Where can I check past projects to get a feel for the right scope?,897a350476
"Can I reuse the workshop content in my own capstone project, or is it just for the class?",d850a0e7ea
"Since dlt is open source, am I allowed to use it in other projects outside this workshop?",d850a0e7ea
"Would it be okay to apply dlt in a different Zoomcamp project, like the MLOps one?",d850a0e7ea
"If I get stuck while using the workshop material in my project, can I still ask questions about it?",d850a0e7ea
"Is the data ingestion stuff from this workshop meant only for learning, or can I actually use it directly in my own work?",d850a0e7ea
How do I start a new dlt project for loading from cloud files?,6bceeebf04
What’s the command to initialize a dlt filesystem project with duckdb?,6bceeebf04
I want to set up dlt for a cloud source — what should I run first?,6bceeebf04
How can I create a new dlt project using filesystem and duckdb?,6bceeebf04
Where do I begin if I’m following the dlt cloud ingestion workshop?,6bceeebf04
"Why do I get FileNotFoundError saying the table doesn't exist when I try `db.open_table(""notion_pages___homework"")`?",0407213397
"What does the error about `db.create_table(notion_pages___homework, data)` usually mean in this dlt workshop?",0407213397
"I renamed the table to homework, but opening it still fails — what could I have missed in the pipeline settings?",0407213397
How do I fix the mismatch between `employee_handbook` and `homework` when reading the table?,0407213397
"If `notion_pages___homework` is not found, is there another place besides the table name I need to update?",0407213397
Why do I get FileNotFoundError saying notion_pages___homework table does not exist when I run main() in the dlt workshop?,e95bfafc0e
What should I change if db.open_table is failing because the homework table was never created?,e95bfafc0e
"In the open-source data ingestion workshop, which table name am I supposed to open in line 3?",e95bfafc0e
I’m seeing an error about missing table notion_pages___homework — is there a wrong table name in the code?,e95bfafc0e
How do I fix the FileNotFoundError for the homework table in main()?,e95bfafc0e
How can I check what tables exist in the database?,e394e6f738
Is there a way to list all the tables from the db?,e394e6f738
What method should I use to see the table names in my database?,e394e6f738
How do I get a list of every table inside the database?,e394e6f738
"If I want to inspect the db schema, how do I print the table names?",e394e6f738
Does DLT support ClickHouse or StarRocks connectors right now?,cd19f122f3
Can I use DLT to load data into ClickHouse or StarRocks?,cd19f122f3
Are there existing connectors in DLT for ClickHouse and StarRocks?,cd19f122f3
"If DLT doesn’t have ClickHouse or StarRocks connectors, is it possible to add them?",cd19f122f3
Has the community contributed ClickHouse or StarRocks support to DLT yet?,cd19f122f3
Why do I keep getting a 401 Unauthorized error when my notebook tries to call the Notion search API?,0dfba07ace
What should I check if the notebook says it doesn’t have secret access for api.notion.com/v1/search?,0dfba07ace
"Could this Notion API auth problem be because my key is wrong, expired, or missing permissions?",0dfba07ace
How do I fix a notebook that can’t access Notion and throws a Client Error 401?,0dfba07ace
What are the usual reasons for Notion API authorization failures in the dlt workshop notebook?,0dfba07ace
"Why does pip keep giving me requests 2.28 when I need 2.32.3 for lancedb, and what's the right install command?",4b30b918bc
"I’m getting a 401 Client Error while installing — does that mean my key is wrong or not allowed, and how do I fix it?",4b30b918bc
How can I force-install the exact requests version from the source zip instead of the older one from pip?,4b30b918bc
"If the package install is failing with access issues, is there a way to grant the needed key permission and then install requests properly?",4b30b918bc
What command should I run to get requests v2.32.3 directly from GitHub for this workshop setup?,4b30b918bc
